0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:23 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E6%8A%95%E8%AF%89%E5%BB%BA%E8%AE%AE%22&datetime=1499228063447 HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:23 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%B8%AA%E4%BA%BA%E4%BF%A1%E6%81%AF%22&datetime=1499228063743 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:24 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C%22&datetime=1499228064447 HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:25 +0800] "GET /tlweb/Css/pic/indexbg.png HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:25 +0800] "GET /tlweb/Css/pic/indexs.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:25 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:26 +0800] "GET /tlweb/Login.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:26 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:33 +0800] "GET /tlweb/AjaxJs/CheckLogin.jsp?user=18026753607&passw=325809674&datetime=1499228073412 HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:34 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6802
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:34 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:14:41 +0800] "GET /tlweb/AjaxJs/CheckUser.jsp?user=18026753609&datetime=1499228081294 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:15:11 +0800] "GET /tlweb/AjaxJs/CheckUser.jsp?user=18575038288&datetime=1499228111494 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:15:15 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1499228115607 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:15:18 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E5%B9%BF%E4%B8%9C%E7%9C%81&datetime=1499228118143 HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:15:28 +0800] "GET /tlweb/agreement/UserAgreement.html HTTP/1.1" 200 7113
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:15:28 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:15:30 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:15:32 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:15:35 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:16:48 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1499228208375 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:16:54 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E5%B9%BF%E4%B8%9C%E7%9C%81&datetime=1499228214535 HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:16:57 +0800] "GET /tlweb/AjaxJs/RegisterUser.jsp?user=18575038288&passw=325809674&company=test&hy=%E5%8C%96%E5%B7%A5&contact=test&zw=%E6%93%8D%E4%BD%9C%E5%91%98&country=%E4%B8%AD%E5%9B%BD&province=%E5%B9%BF%E4%B8%9C%E7%9C%81&city=%E6%B1%9F%E9%97%A8%E5%B8%82&address=%E8%93%AC%E6%B1%9F%E5%8C%BA&datetime=1499228217247 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:16:58 +0800] "GET /tlweb/Css/pic/indexbg.png HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:16:58 +0800] "GET /tlweb/Css/pic/indexs.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:16:58 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:17:00 +0800] "GET /tlweb/Login.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:17:01 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:17:12 +0800] "GET /tlweb/AjaxJs/CheckLogin.jsp?user=18575038288&passw=325809674&datetime=1499228232052 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:17:12 +0800] "GET /tlweb/CustomCtrl.jsp?uid=18575038288&datetime=1499228232068 HTTP/1.1" 200 5006
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:17:12 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C&datetime=1499228232107 HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:17:12 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /tlweb/index.html HTTP/1.1" 200 7107
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /tlweb/Css/index.css HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /tlweb/pic/Login.jpg HTTP/1.1" 200 183420
